filename,original_cc,final_cc
552_refined.npy,2,2
602_refined.npy,2,2
31_refined.npy,2,2
462_refined.npy,2,2
321_refined.npy,2,2
816_refined.npy,2,2
26_refined.npy,2,2
130_refined.npy,2,2
555_refined.npy,2,2
808_refined.npy,2,2
96_refined.npy,2,2
281_refined.npy,2,2
706_refined.npy,2,2
758_refined.npy,2,2
45_refined.npy,2,2
639_refined.npy,2,2
972_refined.npy,2,2
910_refined.npy,2,2
610_refined.npy,2,2
3_refined.npy,2,2
208_refined.npy,2,2
605_refined.npy,1,1
481_refined.npy,2,2
17_refined.npy,2,2
594_refined.npy,2,2
637_refined.npy,2,2
482_refined.npy,2,2
128_refined.npy,2,2
456_refined.npy,2,2
59_refined.npy,2,2
811_refined.npy,2,2
299_refined.npy,2,2
982_refined.npy,2,2
334_refined.npy,2,2
322_refined.npy,2,2
10_refined.npy,2,2
819_refined.npy,2,2
476_refined.npy,2,2
266_refined.npy,2,2
669_refined.npy,2,2
419_refined.npy,2,2
822_refined.npy,2,2
489_refined.npy,2,2
267_refined.npy,2,2
617_refined.npy,2,2
868_refined.npy,2,2
393_refined.npy,2,2
662_refined.npy,2,2
125_refined.npy,2,2
437_refined.npy,2,2
922_refined.npy,2,2
404_refined.npy,2,2
319_refined.npy,2,2
735_refined.npy,2,2
596_refined.npy,2,2
678_refined.npy,2,2
249_refined.npy,2,2
244_refined.npy,2,2
123_refined.npy,2,2
44_refined.npy,2,2
407_refined.npy,2,2
930_refined.npy,2,2
844_refined.npy,2,2
689_refined.npy,2,2
657_refined.npy,2,2
415_refined.npy,2,2
694_refined.npy,2,2
99_refined.npy,2,2
525_refined.npy,2,2
135_refined.npy,2,2
530_refined.npy,2,2
985_refined.npy,2,2
339_refined.npy,2,2
667_refined.npy,2,2
148_refined.npy,2,2
584_refined.npy,2,2
212_refined.npy,2,2
38_refined.npy,2,2
515_refined.npy,2,2
335_refined.npy,2,2
262_refined.npy,2,2
682_refined.npy,2,2
633_refined.npy,2,2
688_refined.npy,2,2
862_refined.npy,2,2
189_refined.npy,2,2
889_refined.npy,2,2
37_refined.npy,2,2
887_refined.npy,2,2
841_refined.npy,2,2
623_refined.npy,2,2
431_refined.npy,2,2
917_refined.npy,2,2
545_refined.npy,2,2
716_refined.npy,2,2
122_refined.npy,2,2
627_refined.npy,2,2
265_refined.npy,2,2
484_refined.npy,2,2
824_refined.npy,2,2
350_refined.npy,2,2
598_refined.npy,2,2
581_refined.npy,2,2
652_refined.npy,2,2
72_refined.npy,2,2
132_refined.npy,2,2
789_refined.npy,2,2
835_refined.npy,2,2
14_refined.npy,2,2
129_refined.npy,2,2
976_refined.npy,2,2
279_refined.npy,2,2
64_refined.npy,3,2
674_refined.npy,2,2
364_refined.npy,2,2
